ID,DayClassification,DayClassificationID
354,Weekend,354
355,Weekend,355
356,Weekend,356
357,Weekend,357
358,Weekend,358
359,Weekend,359
360,Weekend,360
361,Weekend,361
362,Weekend,362
363,Weekend,363
364,Weekend,364
365,Weekend,365
366,Weekend,366
367,Weekend,367
368,Weekend,368
369,Weekend,369
370,Weekend,370
371,Weekend,371
372,Weekend,372
373,Weekend,373
374,Weekend,374
375,Weekend,375
376,Weekend,376
377,Weekday,377
378,Weekday,378
379,Weekday,379
380,Weekday,380
381,Weekday,381
382,Weekday,382
383,Weekday,383
384,Weekday,384
385,Weekday,385
386,Weekday,386
387,Weekday,387
388,Weekday,388
389,Weekday,389
390,Weekday,390
391,Weekday,391
392,Weekday,392
393,Weekday,393
394,Weekday,394
395,Weekday,395
396,Weekday,396
397,Weekday,397
398,Weekday,398
399,Weekday,399
400,Weekday,400
401,Weekday,401
402,Weekday,402
403,Weekday,403
404,Weekday,404
405,Weekday,405
406,Weekday,406
407,Weekday,407
408,Weekday,408
409,Weekday,409
410,Weekend,410
411,Weekday,411
412,Weekday,412
413,Weekday,413
414,Weekday,414
415,Weekday,415
416,Weekday,416
417,Weekday,417
418,Weekday,418
419,Weekday,419
420,Weekday,420
421,Weekday,421
422,Weekday,422
423,Weekday,423
424,Weekday,424
425,Weekend,425
426,Weekend,426
427,Weekend,427
428,Weekend,428
429,Weekend,429
430,Weekend,430
431,Weekend,431
432,Weekend,432
433,Weekend,433
434,Weekend,434
435,Weekend,435
436,Weekend,436
437,Weekend,437
438,Weekend,438
439,Weekend,439
440,Weekend,440
441,Weekend,441
442,Weekend,442
443,Weekend,443
444,Weekend,444
445,Weekend,445
446,Weekend,446
447,Weekend,447
448,Weekend,448
449,Weekend,449
450,Weekend,450
451,Weekend,451
452,Weekend,452
453,Weekday,453
454,Weekday,454
455,Weekday,455
456,Weekday,456
457,Weekday,457
458,Weekday,458
459,Weekday,459
460,Weekday,460
461,Weekday,461
462,Weekday,462
463,Weekday,463
464,Weekday,464
465,Weekday,465
466,Weekday,466
467,Weekday,467
468,Weekday,468
469,Weekday,469
470,Weekday,470
471,Weekday,471
472,Weekday,472
473,Weekday,473
474,Weekday,474
475,Weekday,475
476,Weekday,476
477,Weekday,477
478,Weekday,478
479,Weekday,479
480,Weekday,480
481,Weekday,481
482,Weekday,482
483,Weekday,483
484,Weekday,484
485,Weekday,485
486,Weekday,486
487,Weekday,487
488,Weekday,488
489,Weekday,489
490,Weekday,490
491,Weekday,491
492,Weekday,492
493,Weekday,493
494,Weekday,494
495,Weekday,495
496,Weekday,496
497,Weekday,497
498,Weekday,498
499,Weekday,499
500,Weekday,500
501,Weekday,501
502,Weekday,502
503,Weekday,503
504,Weekend,504
505,Weekend,505
506,Weekend,506
507,Weekend,507
508,Weekend,508
509,Weekday,509
510,Weekday,510
511,Weekday,511
512,Weekday,512
513,Weekday,513
514,Weekday,514
515,Weekday,515
516,Weekday,516
517,Weekday,517
518,Weekday,518
519,Weekday,519
520,Weekday,520
521,Weekday,521
522,Weekday,522
523,Weekday,523
524,Weekend,524
525,Weekend,525
526,Weekend,526
527,Weekend,527
528,Weekend,528
529,Weekend,529
530,Weekend,530
531,Weekend,531
532,Weekend,532
533,Weekend,533
534,Weekend,534
535,Weekend,535
536,Weekend,536
537,Weekend,537
538,Weekend,538
539,Weekend,539
540,Weekend,540
541,Weekend,541
542,Weekend,542
543,Weekend,543
544,Weekend,544
545,Weekend,545
546,Weekday,546
547,Weekday,547
548,Weekday,548
549,Weekday,549
550,Weekday,550
551,Weekday,551
552,Weekday,552
553,Weekday,553
554,Weekday,554
555,Weekday,555
556,Weekday,556
557,Weekday,557
558,Weekday,558
559,Weekday,559
560,Weekday,560
561,Weekday,561
562,Weekday,562
563,Weekday,563
564,Weekday,564
565,Weekday,565
566,Weekday,566
567,Weekday,567
568,Weekday,568
569,Weekday,569
570,Weekday,570
571,Weekday,571
572,Weekday,572
573,Weekday,573
574,Weekday,574
575,Weekday,575
576,Weekday,576
577,Weekday,577
578,Weekend,578
579,Weekend,579
580,Weekend,580
581,Weekend,581
582,Weekend,582
583,Weekend,583
584,Weekday,584
585,Weekday,585
586,Weekday,586
587,Weekend,587
588,Weekend,588
589,Weekend,589
590,Weekend,590
591,Weekend,591
592,Weekend,592
593,Weekend,593
594,Weekend,594
595,Weekend,595
596,Weekend,596
597,Weekend,597
598,Weekend,598
599,Weekend,599
